Code,Name,Category,Tags
E1B6,,duplicate,
E1B7,,duplicate,
E1B8,,duplicate,
E1B9,,language,
E1BA,,language,
E1BB,,language,
E1BC,,language,
E1BD,,language,
E1BE,,language,
E1BF,,duplicate,
E1C0,,duplicate,
E1C2,,duplicate,
E1C3,,duplicate;house,
E1C4,,duplicate;map;location;pin,
E1C5,,duplicate;select;undo,
E1C6,,duplicate,
E1C7,,duplicate,
E1C8,,duplicate,
E1C9,,duplicate;phone,
E1CA,,duplicate;media;audio,
E1CB,,duplicate,
E1CC,,duplicate,
E1CD,,duplicate;reload;refresh,
E1CE,OutlineStarLegacy,legacy,
E1CF,SolidStarLegacy,legacy;star,
E1D0,,duplicate;math;equation,
E1D1,,duplicate;bow;compass,
E1D2,,duplicate;coordinate,
E1D3,,duplicate;books,
E1D4,,duplicate;contacts,
E1D5,,duplicate,
E1D6,,duplicate,
E1D7,,duplicate,
E1D8,,duplicate,
E1D9,,duplicate,
E1DA,,duplicate,
E1DB,,duplicate,
E1DD,,duplicate,
E1DE,,duplicate,
E1DF,,duplicate,
E1E0,,duplicate,
E1E1,,duplicate,
E1E2,,duplicate,
E1E3,,duplicate;pointer,
E1E4,,duplicate;monitor,
E1E5,,duplicate,
E1E6,,duplicate,
E1E7,,duplicate,
E1E8,,duplicate,
E1E9,,duplicate,
E1EA,,duplicate,
E1EC,,duplicate;rtl,
E1ED,,duplicate;rtl,
E1EE,,duplicate,
E1EF,,duplicate,
E1F1,,duplicate,
E1F2,,duplicate,
E1F3,,duplicate;rtl,
E1F4,,duplicate,
E1F5,,duplicate,
E1F6,,duplicate,
E1F7,,duplicate,
E1FD,,duplicate,
E206,,duplicate,
E208,,duplicate,
E209,,duplicate,
E20A,,duplicate,
E20B,MailMessageLegacy,legacy,
E211,,duplicate,
E212,,duplicate;laptop;tablet;mobile,
E224,RatingStarLegacy,legacy,
E228,,duplicate,
E248,ReplyLegacy,legacy,
E249,Favorite2Legacy,legacy,
E24A,,duplicate,
E24E,Unfavorite2Legacy,legacy,
E25A,MobileContactLegacy,legacy,
E25B,BlockedLegacy,legacy,
E25C,TypingIndicatorLegacy,legacy,
E25D,PresenceChickletVideoLegacy,legacy,
E25E,PresenceChickletLegacy,legacy,
E26B,,duplicate,
E26C,,duplicate,
E28F,,duplicate,
E290,,duplicate,
E291,,duplicate,
E292,,duplicate;bullet,
E294,,duplicate;scan,
E295,,duplicate,
E297,,duplicate,
E298,,duplicate,
E299,,duplicate,
E29B,,duplicate,
E2AC,,duplicate,
E2AD,,duplicate,
E2AE,,duplicate,
E2AF,,duplicate,
E2B0,,duplicate,
E2B1,,duplicate,
E2B2,,duplicate,
E2B3,,duplicate,
E2B4,,duplicate,
E2F6,,duplicate,
E2F7,,duplicate,
E700,,duplicate;hamburger;mmm,
E701,,duplicate,
E702,,duplicate,
E703,,duplicate,
E704,,duplicate,
E705,,duplicate,
E706,,duplicate;day,
E707,Mappin,map;pin,
E708,,duplicate;night,
E709,,duplicate,
E70A,,duplicate;mobile,
E70B,,duplicate,
E70C,,duplicate,
E70D,,duplicate,
E70E,,duplicate,
E70F,Edit,pencil,
E710,Add,plus;math,
E711,Cancel,,
E712,More,ellipse,
E713,Settings,cog,
E714,Video,,
E715,Mail,email,
E716,People,,
E717,Phone,,
E718,Pin,,
E719,Shop,,
E71A,Stop,,
E71B,Link,,
E71C,Filter,,
E71D,AllApps,checkbox;list,
E71E,Zoom,,
E71F,ZoomOut,magnify,
E720,Microphone,,
E721,,duplicate,
E722,Camera,photo,
E723,Attach,paperclip,
E724,Send,duplicate,
E725,,duplicate,
E726,,duplicate,
E727,,duplicate,
E729,,duplicate,
E72A,Forward,arrow;right,
E72B,Back,back;arrow;left,
E72C,Refresh,reload,
E72D,Share,,
E72E,,duplicate,
E728,FavoriteList,list,
E730,ReportHacked,,
E734,FavoriteStar,,
E735,FavoriteStarFill,,
E738,Remove,minus;math,
E739,Checkbox,,
E73A,CheckboxComposite,,
E73B,CheckboxFill,,
E73C,CheckboxIndeterminate,,
E73D,CheckboxCompositeReversed,,
E73E,CheckMark,,
E73F,BackToWindow,collapse,
E740,FullScreen,expand,
E741,,duplicate,
E742,,duplicate,
E743,,duplicate,
E744,,duplicate,
E745,,duplicate,
E746,,duplicate,
E747,,duplicate,
E748,,duplicate,
E749,,duplicate,
E74A,Up,arrow;up,
E74B,,duplicate,
E74C,,duplicate,
