Code,Name,Category,Tags
f29e,Audio Description,Film + Video,blind;narration;video;visual
e0a9,Austral Sign,Money,Austral Sign;currency
f559,Award,Education,guarantee;honor;praise;prize;recognition;ribbon;trophy;warranty
f559,Award,Political,guarantee;honor;praise;prize;recognition;ribbon;trophy;warranty
42,B,Alphabet,Latin Capital Letter B;Latin Small Letter B;letter
f77c,Baby,Childhood,uer;users-people
f77c,Baby,Humanitarian,uer;users-people
f77c,Baby,Users + People,uer;users-people
f77d,Baby Carriage,Childhood,buggy;carrier;infant;push;stroller;transportation;walk;wheels
f77d,Baby Carriage,Transportation,buggy;carrier;infant;push;stroller;transportation;walk;wheels
f77d,Baby Carriage,Travel + Hotel,buggy;carrier;infant;push;stroller;transportation;walk;wheels
f04a,Backward,Media Playback,arrow;double;fast reverse button;previous;rewind
f049,Backward Fast,Media Playback,arrow;beginning;first;last track button;previous;previous scene;previous track;quick;rewind;start;triangle
f048,Backward Step,Media Playback,beginning;first;previous;rewind;start
f7e5,Bacon,Food + Beverage,bacon;blt;breakfast;food;ham;lard;meat;pancetta;pork;rasher
e059,Bacteria,Medical + Health,antibiotic;antibody;covid-19;health;organism;sick
e05a,Bacterium,Humanitarian,antibiotic;antibody;covid-19;germ;health;organism;sick
e05a,Bacterium,Medical + Health,antibiotic;antibody;covid-19;germ;health;organism;sick
f290,Bag Shopping,Maps,buy;checkout;grocery;payment;purchase
f290,Bag Shopping,Shopping,buy;checkout;grocery;payment;purchase
f666,Bahai,Religion,bahai;bahá'í;star
f666,Bahai,Spinners,bahai;bahá'í;star
e0ac,Baht Sign,Money,currency
f05e,Ban,Humanitarian,404;abort;ban;block;cancel;delete;deny;disabled;entry;failed;forbidden;hide;no;not;not found;prohibit;prohibited;remove;stop;trash
f05e,Ban,Security,404;abort;ban;block;cancel;delete;deny;disabled;entry;failed;forbidden;hide;no;not;not found;prohibit;prohibited;remove;stop;trash
f54d,Ban Smoking,Medical + Health,ban;cancel;deny;disabled;forbidden;no;no smoking;non-smoking;not;prohibited;smoking
f54d,Ban Smoking,Travel + Hotel,ban;cancel;deny;disabled;forbidden;no;no smoking;non-smoking;not;prohibited;smoking
f462,Bandage,Editing,adhesive bandage;bandage;boo boo;first aid;modify;ouch
f462,Bandage,Medical + Health,adhesive bandage;bandage;boo boo;first aid;modify;ouch
e2e6,Bangladeshi Taka Sign,Money,bdt;currency;tk
f02a,Barcode,Coding,info;laser;price;scan;upc
f02a,Barcode,Shopping,info;laser;price;scan;upc
f0c9,Bars,Coding,checklist;drag;hamburger;list;menu;nav;navigation;ol;reorder;settings;todo;ul
f0c9,Bars,Editing,checklist;drag;hamburger;list;menu;nav;navigation;ol;reorder;settings;todo;ul
f828,Bars Progress,Business,checklist;downloading;downloads;loading;poll;progress;project management;settings;to do
f828,Bars Progress,Charts + Diagrams,checklist;downloading;downloads;loading;poll;progress;project management;settings;to do
f550,Bars Staggered,Business,flow;list;timeline
f550,Bars Staggered,Coding,flow;list;timeline
f433,Baseball,Sports + Fitness,ball;baseball;foul;glove;hardball;league;leather;mlb;softball;sport;underarm
f432,Baseball Bat Ball,Childhood,bat;league;mlb;slugger;softball;sport
f432,Baseball Bat Ball,Sports + Fitness,bat;league;mlb;slugger;softball;sport
f291,Basket Shopping,Maps,buy;checkout;grocery;payment;purchase
f291,Basket Shopping,Shopping,buy;checkout;grocery;payment;purchase
f434,Basketball,Sports + Fitness,ball;basketball;dribble;dunk;hoop;nba
f2cd,Bath,Childhood,bath;bathtub;clean;shower;tub;wash
f2cd,Bath,Coding,bath;bathtub;clean;shower;tub;wash
f2cd,Bath,Household,bath;bathtub;clean;shower;tub;wash
f2cd,Bath,Maps,bath;bathtub;clean;shower;tub;wash
f2cd,Bath,Travel + Hotel,bath;bathtub;clean;shower;tub;wash
f244,Battery Empty,Energy,charge;dead;power;status
f240,Battery Full,Energy,batter;battery;charge;power;status
f242,Battery Half,Energy,charge;power;status
f243,Battery Quarter,Energy,charge;low;power;status
f241,Battery Three Quarters,Energy,charge;power;status
f236,Bed,Household,hospital;hotel;lodging;mattress;patient;person in bed;rest;sleep;travel;uer
