Code,Name,Category,Tags
30,0,Numbers,
31,1,Numbers,
32,2,Numbers,
33,3,Numbers,
34,4,Numbers,
35,5,Numbers,
36,6,Numbers,
37,7,Numbers,
38,8,Numbers,
39,9,Numbers,
41,A,Alphabet,
f037,align-center,Text Formatting,
f039,align-justify,Text Formatting,
f036,align-left,Text Formatting,
f038,align-right,Text Formatting,
f13d,Anchor,Humanitarian;Logistics;Maps;Maritime,
e4aa,Anchor Circle-check,Humanitarian;Logistics;Maritime,
e4ab,Anchor Circle-exclamation,Humanitarian;Logistics;Maritime,
e4ac,Anchor Circle-xmark,Humanitarian;Logistics;Maritime,
e4ad,Anchor Lock,Humanitarian;Logistics;Maritime,
f107,angle-down,Arrows,
f104,angle-left,Arrows,
f105,angle-right,Arrows,
f106,angle-up,Arrows,
f103,Angles down,Arrows,
f100,Angles left,Arrows,
f101,Angles right,Arrows,
f102,Angles up,Arrows,
f644,Ankh,Religion,
f5d1,Apple whole,Childhood;Education;Food + Beverage;Fruits + Vegetables,
f557,Archway,Buildings;Travel + Hotel,
f063,Arrow down,Arrows,
f162,Arrow down 1 9,Arrows,
f886,Arrow down 9 1,Arrows,
f15d,Arrow down a z,Arrows,
f175,Arrow down long,Arrows,
f884,Arrow down short wide,Arrows,
e4af,Arrow Down-up-across-line,Arrows;Humanitarian,
e4b0,Arrow Down-up-lock,Arrows;Humanitarian,
f160,Arrow down wide short,Arrows,
f881,Arrow down z a,Arrows,
f060,arrow-left,Arrows,
f177,Arrow left long,Arrows,
f245,Arrow pointer,Arrows,
f061,arrow right,Arrows,
f0ec,Arrow right arrow left,Arrows,
f08b,Arrow right from bracket,Arrows,
f178,Arrow right long,Arrows,
f090,Arrow right to bracket,Arrows,
e4b3,Arrow Right-to-city,Buildings;Humanitarian,
f0e2,Arrow Rotate Left,Arrows;Media Playback,
f01e,Arrow Rotate Right,Arrows;Media Playback,
e097,Arrow trend down,Arrows,
e098,Arrow trend up,Arrows,
f149,Arrow turn down,Arrows,
f148,Arrow turn up,Arrows,
f062,Arrow up,Arrows,
f163,Arrow up 1 9,Arrows,
f887,Arrow up 9 1,Arrows,
f15e,Arrow up a z,Arrows,
e09a,Arrow up from bracket,Arrows,
e4b5,Arrow Up-from-ground-water,Construction;Energy;Humanitarian,
e4b6,Arrow Up-from-water-pump,Household;Humanitarian,
f176,Arrow up long,Arrows,
e4b7,Arrow Up-right-dots,Arrows;Humanitarian,
f08e,Arrow up right from square,Arrows;Humanitarian,
f885,Arrow up short wide,Arrows,
f161,Arrow up wide short,Arrows,
f882,Arrow up z a,Arrows,
e4b8,Arrows Down-to-line,Arrows;Humanitarian,
e4b9,Arrows Down-to-people,Humanitarian;Users + People,
f07e,Arrows left right,Arrows,
e4ba,Arrows Left-right-to-line,Arrows;Humanitarian,
f021,Arrows rotate,Arrows;Editing;Media Playback,
e4bb,Arrows Spin,Arrows;Business;Humanitarian;Marketing;Spinners,
e4bc,Arrows Split-up-and-left,Arrows;Humanitarian,
e4bd,Arrows To-circle,Arrows;Humanitarian,
e4be,Arrows To-dot,Arrows;Business;Humanitarian;Marketing,
e4bf,Arrows To-eye,Arrows;Business;Humanitarian;Marketing,
e4c0,Arrows Turn-right,Arrows;Humanitarian,
e4c1,Arrows Turn-to-dots,Arrows;Humanitarian,
f07d,Arrows up down,Arrows,
f047,Arrows up down left right,Arrows,
e4c2,Arrows Up-to-line,Arrows;Humanitarian,
2a,asterisk,Punctuation + Symbols;Spinners,
40,At,Communication;Punctuation + Symbols,
f5d2,Atom,Education;Energy;Religion;Science;Science Fiction;Spinners,
f29e,Rectangle audio description,Accessibility;Film + Video,
e0a9,Austral Sign,Money,
f559,Award,Education;Political,
42,B,Alphabet,
f77c,Baby,Childhood;Humanitarian;Users + People,
f77d,Baby Carriage,Childhood;Transportation;Travel + Hotel,
f04a,backward,Media Playback,
f049,Backward fast,Media Playback,
f048,Backward step,Media Playback,
f7e5,Bacon,Food + Beverage,
e059,Bacteria,Medical + Health,
e05a,Bacterium,Humanitarian;Medical + Health,
f290,Bag shopping,Maps;Shopping,
f666,Bahá'í,Religion;Spinners,
e0ac,Baht Sign,Money,
f05e,ban,Humanitarian;Security,
f54d,Ban smoking,Medical + Health;Travel + Hotel,
f462,Bandage,Editing;Medical + Health,
f02a,barcode,Coding;Shopping,
f0c9,Bars,Coding;Editing,
f828,Bars progress,Business;Charts + Diagrams,
f550,Bars staggered,Business;Coding,
f433,Baseball Ball,Sports + Fitness,
f432,Baseball bat ball,Childhood;Sports + Fitness,
f291,Basket shopping,Maps;Shopping,
f434,Basketball Ball,Sports + Fitness,
f2cd,Bath,Childhood;Coding;Household;Maps;Travel + Hotel,
f244,Battery Empty,Energy,
f240,Battery Full,Energy,
f242,Battery 1/2 Full,Energy,
f243,Battery 1/4 Full,Energy,
f241,Battery 3/4 Full,Energy,
f236,Bed,Household;Humanitarian;Maps;Travel + Hotel;Users + People,
f487,Bed pulse,Medical + Health,
f0fc,Beer mug empty,Food + Beverage;Maps,
f562,Bell concierge,Travel + Hotel,
f55b,Bezier Curve,Design,
f206,Bicycle,Maps;Sports + Fitness;Transportation,
f1e5,Binoculars,Camping;Maps;Nature,
f780,Biohazard,Disaster + Crisis;Humanitarian;Medical + Health;Science,
e0b4,Bitcoin Sign,Money,
f517,Blender,Food + Beverage;Household,
f6b6,Blender Phone,Communication;Devices + Hardware,
f781,Blog,Writing,
f032,bold,Text Formatting,
f0e7,Bolt,Energy;Photos + Images;Weather,
e0b7,Lightning Bolt,Photos + Images;Weather,
f1e2,Bomb,Maps,
f5d7,Bone,Food + Beverage;Medical + Health,
f55c,Bong,Medical + Health,
f02d,book,Business;Maps;Writing,
f558,Book atlas,Maps;Travel + Hotel,
f647,Book bible,Religion,
e0bb,Book Bookmark,Humanitarian;Writing,
f66a,Book journal whills,Religion;Science Fiction,
f7e6,Medical Book,Medical + Health,
f518,Book Open,Education,
f5da,Book open reader,Education,
f687,Book quran,Religion,
f6b7,Book skull,Gaming;Halloween,
f827,Book tanakh,Religion,
f84c,Border All,Text Formatting,
f850,Border None,Text Formatting,
f853,Border top left,Text Formatting,
e4c3,Bore Hole,Construction;Humanitarian,
e4c4,Bottle Droplet,Food + Beverage;Humanitarian,
e4c5,Bottle Water,Camping;Food + Beverage;Humanitarian,
e4c6,Bowl Food,Food + Beverage;Humanitarian,
e2eb,Bowl Rice,Food + Beverage;Humanitarian,
f436,Bowling Ball,Sports + Fitness,
f466,Box,Logistics,
f187,Box archive,Business;Coding;Files;Moving;Writing,
f49e,Box Open,Moving,
e05b,Tissue Box,Household,
e4c7,Boxes Packing,Business;Humanitarian;Logistics;Moving,
f468,Boxes stacked,Logistics,
f2a1,Braille,Accessibility,
f5dc,Brain,Medical + Health;Science,
e46c,Brazilian Real Sign,Money,
f7ec,Bread Slice,Food + Beverage,
e4c8,Bridge,Humanitarian;Logistics;Maps,
e4c9,Bridge Circle-check,Humanitarian;Logistics,
e4ca,Bridge Circle-exclamation,Humanitarian;Logistics,
e4cb,Bridge Circle-xmark,Humanitarian;Logistics,
e4cc,Bridge Lock,Humanitarian;Logistics,
e4ce,Bridge Water,Humanitarian;Logistics;Maps,
f0b1,Briefcase,Business;Maps;Travel + Hotel,
