Code,Name,Category,Tags
f2b9,Address Book,Business,contact;directory;employee;index;little black book;portfolio;rolodex;uer;username
f2b9,Address Book,Communication,contact;directory;employee;index;little black book;portfolio;rolodex;uer;username
f2b9,Address Book,Users + People,contact;directory;employee;index;little black book;portfolio;rolodex;uer;username
f2bb,Address Card,Accessibility,about;contact;employee;id;identification;portfolio;postcard;profile;registration;uer;username
f2bb,Address Card,Alphabet,about;contact;employee;id;identification;portfolio;postcard;profile;registration;uer;username
f2bb,Address Card,Business,about;contact;employee;id;identification;portfolio;postcard;profile;registration;uer;username
f2bb,Address Card,Communication,about;contact;employee;id;identification;portfolio;postcard;profile;registration;uer;username
f2bb,Address Card,Users + People,about;contact;employee;id;identification;portfolio;postcard;profile;registration;uer;username
f34e,Alarm Clock,Alert,alarm;alarm clock;clock;date;late;pending;reminder;sleep;snooze;timer;timestamp;watch
f34e,Alarm Clock,Time,alarm;alarm clock;clock;date;late;pending;reminder;sleep;snooze;timer;timestamp;watch
f34e,Alarm Clock,Travel + Hotel,alarm;alarm clock;clock;date;late;pending;reminder;sleep;snooze;timer;timestamp;watch
f0f3,Bell,Alert,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Education,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Household,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Maps,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Shopping,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Social,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Time,alarm;alert;bel;bell;chime;notification;reminder;request
f1f6,Bell Slash,Alert,alert;bell;bell with slash;cancel;disabled;forbidden;mute;notification;off;quiet;reminder;silent
f1f6,Bell Slash,Education,alert;bell;bell with slash;cancel;disabled;forbidden;mute;notification;off;quiet;reminder;silent
f1f6,Bell Slash,Maps,alert;bell;bell with slash;cancel;disabled;forbidden;mute;notification;off;quiet;reminder;silent
f1f6,Bell Slash,Time,alert;bell;bell with slash;cancel;disabled;forbidden;mute;notification;off;quiet;reminder;silent
f02e,Bookmark,Maps,bookmark;favorite;library;mark;marker;read;remember;research;save
f02e,Bookmark,Shapes,bookmark;favorite;library;mark;marker;read;remember;research;save
f02e,Bookmark,Shopping,bookmark;favorite;library;mark;marker;read;remember;research;save
f02e,Bookmark,Writing,bookmark;favorite;library;mark;marker;read;remember;research;save
f1ad,Building,Buildings,apartment;building;business;city;company;office;office building;urban;work
f1ad,Building,Business,apartment;building;business;city;company;office;office building;urban;work
f1ad,Building,Humanitarian,apartment;building;business;city;company;office;office building;urban;work
f1ad,Building,Maps,apartment;building;business;city;company;office;office building;urban;work
f133,Calendar,Business,calendar;calendar-o;date;day;event;month;schedule;tear-off calendar;time;when;year
f133,Calendar,Shapes,calendar;calendar-o;date;day;event;month;schedule;tear-off calendar;time;when;year
f133,Calendar,Time,calendar;calendar-o;date;day;event;month;schedule;tear-off calendar;time;when;year
